Date,Site,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindRun,HiSpeed,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,P_GEN
2014-06-10 02:30:00,Forest Road,18.4,18.7,18.4,81.0,15.1,0,0.0,4,18.4,18.9,18.9,758.0,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 03:00:00,Forest Road,18.1,18.5,18.1,80.0,14.6,1,0.5,3,18.1,18.4,18.4,758.1,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 03:30:00,Forest Road,18.1,18.4,18.1,80.0,14.6,0,0.0,3,18.1,18.4,18.4,757.9,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 04:00:00,Forest Road,17.2,18.1,17.2,84.0,14.4,2,1.0,5,17.2,17.4,17.4,758.0,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 04:30:00,Forest Road,16.9,17.2,16.9,86.0,14.5,1,0.5,5,16.9,17.1,17.1,758.1,0.0,0.0,0.0,0.0,0.0,0.003
2014-06-10 05:00:00,Forest Road,17.1,17.1,16.8,85.0,14.6,0,0.0,3,17.1,17.4,17.4,758.5,0.0,0.0,2.0,0.09,7.0,0.048
2014-06-10 05:30:00,Forest Road,17.2,17.2,17.1,85.0,14.6,0,0.0,0,17.2,17.4,17.4,758.7,0.0,0.0,8.0,0.34,9.0,0.091
2014-06-10 06:00:00,Forest Road,16.3,17.2,16.3,88.0,14.3,0,0.0,3,16.3,16.6,16.6,759.0,0.0,0.0,17.0,0.73,32.0,0.143
2014-06-10 06:30:00,Forest Road,16.6,16.6,16.3,90.0,15.0,0,0.0,3,16.6,16.9,16.9,759.0,0.0,0.0,50.0,2.15,135.0,0.188
2014-06-10 07:00:00,Forest Road,17.0,17.0,16.6,87.0,14.8,0,0.0,3,17.0,17.3,17.3,759.0,0.0,0.0,61.0,2.62,162.0,0.513
2014-06-10 07:30:00,Forest Road,17.4,17.4,17.0,78.0,13.6,1,0.5,5,17.4,17.6,17.6,759.3,0.0,0.0,37.0,1.59,72.0,0.854
2014-06-10 08:00:00,Forest Road,18.0,18.0,17.4,76.0,13.7,1,0.5,6,18.0,18.2,18.2,759.6,0.0,0.0,41.0,1.76,93.0,1.166
2014-06-10 08:30:00,Forest Road,18.8,18.8,18.0,68.0,12.7,2,1.0,8,18.8,18.8,18.8,759.8,0.0,0.0,61.0,2.62,155.0,1.129
2014-06-10 09:00:00,Forest Road,19.6,19.6,18.8,63.0,12.3,1,0.5,5,19.6,19.4,19.4,760.0,0.0,0.0,59.0,2.54,116.0,0.862
2014-06-10 09:30:00,Forest Road,20.2,20.2,19.6,59.0,11.9,1,0.5,6,20.2,19.9,19.9,760.2,0.0,0.0,198.0,8.52,295.0,0.855
2014-06-10 10:00:00,Forest Road,20.2,20.5,20.2,58.0,11.7,2,1.0,6,20.2,19.9,19.9,760.2,0.0,0.0,298.0,12.82,731.0,1.012
2014-06-10 10:30:00,Forest Road,20.2,20.3,20.2,59.0,11.9,2,1.0,5,20.2,19.9,19.9,760.3,0.0,0.0,294.0,12.64,341.0,1.157
2014-06-10 11:00:00,Forest Road,19.9,20.2,19.9,61.0,12.2,3,1.5,8,19.9,19.8,19.8,760.5,0.0,0.0,343.0,14.75,508.0,2.01
2014-06-10 11:30:00,Forest Road,20.6,20.6,19.9,59.0,12.3,3,1.5,9,20.6,20.2,20.2,760.6,0.0,0.0,372.0,16.0,745.0,1.92
2014-06-10 12:00:00,Forest Road,20.8,21.2,20.6,58.0,12.3,5,2.5,13,20.8,20.3,20.3,760.5,0.0,0.0,826.0,35.52,965.0,2.115
2014-06-10 12:30:00,Forest Road,21.7,21.8,20.8,53.0,11.7,3,1.5,11,21.7,21.0,21.0,760.5,0.0,0.0,801.0,34.45,898.0,1.408
2014-06-10 13:00:00,Forest Road,22.0,22.3,21.6,53.0,12.0,4,2.0,14,22.0,21.5,21.5,760.4,0.0,0.0,854.0,36.73,954.0,2.774
2014-06-10 13:30:00,Forest Road,22.2,22.5,22.0,52.0,11.9,4,2.0,12,22.2,21.8,21.8,760.5,0.0,0.0,789.0,33.93,1041.0,2.065
2014-06-10 14:00:00,Forest Road,22.8,23.0,22.2,47.0,10.9,6,3.0,13,22.8,22.4,22.4,760.5,0.0,0.0,935.0,40.21,1007.0,2.519
2014-06-10 14:30:00,Forest Road,23.1,23.4,22.7,42.0,9.5,6,3.0,13,23.1,22.6,22.6,760.6,0.0,0.0,855.0,36.77,912.0,2.569
2014-06-10 15:00:00,Forest Road,23.0,23.2,22.8,44.0,10.1,6,3.0,15,23.0,22.5,22.5,760.5,0.0,0.0,870.0,37.41,911.0,1.067
2014-06-10 15:30:00,Forest Road,23.3,23.4,22.9,44.0,10.4,6,3.0,15,23.3,22.9,22.9,760.5,0.0,0.0,832.0,35.78,900.0,2.057
2014-06-10 16:00:00,Forest Road,22.4,23.3,22.4,45.0,9.9,7,3.5,18,22.4,21.8,21.8,760.5,0.0,0.0,495.0,21.29,824.0,1.831
2014-06-10 16:30:00,Forest Road,23.7,23.7,22.4,38.0,8.5,5,2.5,15,23.7,23.1,23.1,760.4,0.0,0.0,666.0,28.64,791.0,1.55
2014-06-10 17:00:00,Forest Road,23.2,23.7,23.2,39.0,8.4,6,3.0,17,23.2,22.6,22.6,760.6,0.0,0.0,584.0,25.12,629.0,1.273
2014-06-10 17:30:00,Forest Road,22.8,23.2,22.8,42.0,9.2,5,2.5,12,22.8,22.2,22.2,760.6,0.0,0.0,511.0,21.98,554.0,0.928
2014-06-10 18:00:00,Forest Road,22.3,22.8,22.3,43.0,9.1,5,2.5,15,22.3,21.5,21.5,760.8,0.0,0.0,433.0,18.62,471.0,0.462
2014-06-10 18:30:00,Forest Road,21.8,22.3,21.8,45.0,9.3,5,2.5,13,21.8,20.8,20.8,761.0,0.0,0.0,347.0,14.92,390.0,0.297
2014-06-10 19:00:00,Forest Road,21.2,21.8,21.2,46.0,9.1,5,2.5,13,21.2,20.0,20.0,761.2,0.0,0.0,263.0,11.31,301.0,0.097
2014-06-10 19:30:00,Forest Road,20.7,21.2,20.7,48.0,9.3,4,2.0,10,20.7,19.8,19.8,761.5,0.0,0.0,176.0,7.57,227.0,0.034
2014-06-10 20:00:00,Forest Road,20.7,20.7,20.4,46.0,8.6,4,2.0,11,20.7,19.6,19.6,761.8,0.0,0.0,109.0,4.69,146.0,0.003
2014-06-10 20:30:00,Forest Road,19.9,20.8,19.9,47.0,8.3,3,1.5,9,19.9,19.1,19.1,762.2,0.0,0.0,46.0,1.98,76.0,0.002
2014-06-10 21:00:00,Forest Road,18.9,19.9,18.9,50.0,8.3,2,1.0,7,18.9,18.1,18.1,762.4,0.0,0.0,19.0,0.82,26.0,0.002
2014-06-10 21:30:00,Forest Road,17.7,18.9,17.7,54.0,8.3,2,1.0,6,17.7,16.9,16.9,762.9,0.0,0.0,2.0,0.09,7.0,0.002
2014-06-10 22:00:00,Forest Road,16.8,17.7,16.8,56.0,7.9,3,1.5,8,16.8,16.0,16.0,763.2,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 22:30:00,Forest Road,16.2,16.8,16.2,59.0,8.2,3,1.5,7,16.2,15.5,15.5,763.2,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 23:00:00,Forest Road,15.6,16.2,15.6,62.0,8.4,2,1.0,5,15.6,15.0,15.0,763.5,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-10 23:30:00,Forest Road,15.1,15.6,15.1,69.0,9.5,2,1.0,5,15.1,14.7,14.7,763.8,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 00:00:00,Forest Road,15.1,15.2,15.1,71.0,9.8,1,0.5,4,15.1,14.7,14.7,764.0,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 00:30:00,Forest Road,14.7,15.1,14.7,72.0,9.7,1,0.5,5,14.7,14.3,14.3,764.1,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 01:00:00,Forest Road,14.3,14.7,14.3,73.0,9.6,2,1.0,6,14.3,14.0,14.0,764.1,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 01:30:00,Forest Road,14.1,14.3,14.0,74.0,9.5,1,0.5,5,14.1,13.7,13.7,764.2,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 02:00:00,Forest Road,13.4,14.1,13.4,76.0,9.3,1,0.5,4,13.4,13.2,13.2,764.2,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 02:30:00,Forest Road,13.2,13.5,13.2,78.0,9.5,1,0.5,5,13.2,13.0,13.0,764.4,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 03:00:00,Forest Road,12.7,13.2,12.7,79.0,9.2,1,0.5,4,12.7,12.6,12.6,764.4,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 03:30:00,Forest Road,12.6,12.9,12.6,80.0,9.2,1,0.5,4,12.6,12.4,12.4,764.7,0.0,0.0,0.0,0.0,0.0,0.002
2014-06-11 04:00:00,Forest Road,12.6,12.7,12.4,81.0,9.4,0,0.0,3,12.6,12.4,12.4,764.8,0.0,0.0,0.0,0.0,0.0,0.003
2014-06-11 04:30:00,Forest Road,12.7,12.8,12.6,80.0,9.4,0,0.0,3,12.7,12.6,12.6,765.0,0.0,0.0,0.0,0.0,0.0,0.037
2014-06-11 05:00:00,Forest Road,12.2,12.7,12.2,83.0,9.4,1,0.5,5,12.2,12.1,12.1,765.4,0.0,0.0,5.0,0.22,11.0,0.069
2014-06-11 05:30:00,Forest Road,11.9,12.2,11.9,85.0,9.5,1,0.5,4,11.9,11.9,11.9,765.5,0.0,0.0,16.0,0.69,21.0,0.087
2014-06-11 06:00:00,Forest Road,12.0,12.1,11.9,86.0,9.7,1,0.5,5,12.0,11.9,11.9,765.8,0.0,0.0,26.0,1.12,35.0,0.108
2014-06-11 06:30:00,Forest Road,12.1,12.1,11.9,86.0,9.8,2,1.0,5,12.1,12.1,12.1,766.0,0.0,0.0,45.0,1.94,123.0,0.255
2014-06-11 07:00:00,Forest Road,12.9,12.9,12.1,86.0,10.7,1,0.5,5,12.9,12.9,12.9,766.3,0.0,0.0,50.0,2.15,148.0,0.528
2014-06-11 07:30:00,Forest Road,13.6,13.7,13.0,83.0,10.8,2,1.0,5,13.6,13.5,13.5,766.4,0.0,0.0,44.0,1.89,79.0,0.856
2014-06-11 08:00:00,Forest Road,14.3,14.3,13.6,82.0,11.3,2,1.0,7,14.3,14.2,14.2,766.4,0.0,0.0,47.0,2.02,53.0,1.204
2014-06-11 08:30:00,Forest Road,15.1,15.1,14.3,80.0,11.6,2,1.0,7,15.1,14.9,14.9,766.5,0.0,0.0,55.0,2.37,104.0,1.382
2014-06-11 09:00:00,Forest Road,15.8,15.8,15.1,77.0,11.8,2,1.0,6,15.8,15.7,15.7,766.4,0.0,0.0,66.0,2.84,111.0,0.929
2014-06-11 09:30:00,Forest Road,17.1,17.1,15.8,67.0,10.9,2,1.0,7,17.1,16.8,16.8,766.5,0.0,0.0,157.0,6.75,513.0,2.056
2014-06-11 10:00:00,Forest Road,17.7,17.7,17.1,62.0,10.3,2,1.0,7,17.7,17.2,17.2,766.5,0.0,0.0,278.0,11.96,788.0,1.677
2014-06-11 10:30:00,Forest Road,18.9,18.9,17.7,56.0,9.9,2,1.0,8,18.9,18.3,18.3,766.7,0.0,0.0,787.0,33.85,886.0,1.395
2014-06-11 11:00:00,Forest Road,18.9,19.1,18.7,57.0,10.2,2,1.0,8,18.9,18.4,18.4,766.7,0.0,0.0,727.0,31.27,930.0,2.267
2014-06-11 11:30:00,Forest Road,19.3,19.6,18.9,53.0,9.5,3,1.5,8,19.3,18.6,18.6,766.8,0.0,0.0,752.0,32.34,905.0,2.786
