Site,TempOut,HiTemp,LowTemp,OutHum,DewPt,WindSpeed,WindRun,HiSpeed,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,HiSolarRad,P_GEN
Maple Drive East,14.1,14.6,14.1,88.0,12.2,0,0.0,1,14.1,14.1,14.1,758.9,0.0,0.0,0.0,0.0,0.0,0.033
Maple Drive East,13.7,14.1,13.7,87.0,11.5,0,0.0,0,13.7,13.7,13.7,759.0,0.0,0.0,0.0,0.0,0.0,0.183
Maple Drive East,13.2,13.7,13.2,88.0,11.2,0,0.0,0,13.2,13.2,13.2,759.2,0.0,0.0,1.0,0.04,5.0,0.488
Maple Drive East,12.6,13.2,12.6,91.0,11.2,0,0.0,1,12.6,12.7,12.7,759.2,0.0,0.0,6.0,0.26,7.0,0.892
Maple Drive East,12.9,12.9,12.6,93.0,11.8,0,0.0,0,12.9,13.1,13.1,759.3,0.0,0.0,9.0,0.39,11.0,1.279
Maple Drive East,13.6,13.6,12.9,93.0,12.4,0,0.0,0,13.6,13.7,13.7,759.5,0.0,0.0,13.0,0.56,18.0,1.664
Maple Drive East,14.3,14.3,13.6,92.0,13.0,0,0.0,0,14.3,14.4,14.4,759.8,0.0,0.0,21.0,0.9,25.0,1.563
Maple Drive East,15.2,15.2,14.3,90.0,13.6,0,0.0,0,15.2,15.3,15.3,760.1,0.0,0.0,28.0,1.2,39.0,2.386
Maple Drive East,16.1,16.1,15.2,78.0,12.3,0,0.0,5,16.1,16.1,16.1,760.4,0.0,0.0,37.0,1.59,51.0,1.975
Maple Drive East,17.5,17.5,16.1,77.0,13.4,2,1.0,7,17.5,17.6,17.6,760.7,0.0,0.0,51.0,2.19,139.0,2.88
Maple Drive East,17.6,17.8,17.5,72.0,12.4,2,1.0,7,17.6,17.5,17.5,760.8,0.0,0.0,59.0,2.54,102.0,3.043
Maple Drive East,17.7,17.7,17.6,60.0,9.8,4,2.0,11,17.7,17.2,17.2,761.0,0.0,0.0,52.0,2.24,70.0,3.15
Maple Drive East,17.9,17.9,17.6,67.0,11.7,3,1.5,8,17.9,17.7,17.7,761.1,0.0,0.0,61.0,2.62,88.0,2.659
Maple Drive East,18.3,18.3,17.9,68.0,12.3,3,1.5,10,18.3,18.2,18.2,761.1,0.0,0.0,71.0,3.05,160.0,3.176
Maple Drive East,18.8,18.8,18.3,68.0,12.8,4,2.0,11,18.8,18.8,18.8,761.0,0.0,0.0,179.0,7.7,868.0,3.136
Maple Drive East,18.9,19.0,18.8,68.0,12.9,4,2.0,10,18.9,18.9,18.9,761.1,0.0,0.0,331.0,14.23,893.0,3.228
Maple Drive East,19.7,19.7,18.9,65.0,12.9,3,1.5,10,19.7,19.7,19.7,761.1,0.0,0.0,160.0,6.88,884.0,3.18
Maple Drive East,20.4,20.4,19.7,61.0,12.7,3,1.5,10,20.4,20.2,20.2,761.2,0.0,0.0,108.0,4.64,248.0,3.085
Maple Drive East,20.6,20.7,20.4,55.0,11.2,4,2.0,14,20.6,20.1,20.1,761.3,0.0,0.0,878.0,37.76,954.0,2.95
Maple Drive East,19.9,20.7,19.9,59.0,11.7,5,2.5,14,19.9,19.7,19.7,761.4,0.0,0.0,238.0,10.24,956.0,2.792
Maple Drive East,20.3,20.3,19.8,59.0,12.0,5,2.5,14,20.3,20.0,20.0,761.6,0.0,0.0,495.0,21.29,930.0,2.132
Maple Drive East,20.4,20.7,20.1,59.0,12.1,4,2.0,12,20.4,20.1,20.1,761.6,0.0,0.0,878.0,37.76,898.0,2.229
Maple Drive East,20.4,21.1,20.3,58.0,11.8,5,2.5,12,20.4,20.0,20.0,761.7,0.0,0.0,842.0,36.21,926.0,1.924
Maple Drive East,21.1,21.2,20.4,59.0,12.7,4,2.0,12,21.1,20.6,20.6,761.8,0.0,0.0,699.0,30.06,798.0,1.344
Maple Drive East,19.9,21.1,19.9,54.0,10.3,5,2.5,13,19.9,19.4,19.4,761.9,0.0,0.0,677.0,29.11,740.0,1.019
Maple Drive East,19.5,19.9,19.4,59.0,11.3,5,2.5,14,19.5,19.2,19.2,762.1,0.0,0.0,122.0,5.25,649.0,0.581
Maple Drive East,20.2,20.3,19.5,56.0,11.2,5,2.5,11,20.2,19.8,19.8,762.3,0.0,0.0,89.0,3.83,504.0,0.373
Maple Drive East,19.4,20.2,19.3,57.0,10.6,5,2.5,16,19.4,18.9,18.9,762.4,0.0,0.0,224.0,9.63,446.0,0.173
Maple Drive East,18.9,19.6,18.9,60.0,11.0,4,2.0,13,18.9,18.6,18.6,762.5,0.0,0.0,186.0,8.0,394.0,0.107
Maple Drive East,18.6,18.9,18.5,59.0,10.4,4,2.0,11,18.6,18.1,18.1,762.7,0.0,0.0,60.0,2.58,130.0,0.076
Maple Drive East,18.1,18.6,18.1,61.0,10.4,3,1.5,10,18.1,17.6,17.6,762.8,0.0,0.0,30.0,1.29,62.0,0.043
Maple Drive East,17.7,18.1,17.7,64.0,10.8,3,1.5,8,17.7,17.3,17.3,762.9,0.0,0.0,28.0,1.2,40.0,0.006
Maple Drive East,11.9,12.5,11.8,89.0,10.1,0,0.0,0,11.9,11.9,11.9,765.5,0.0,0.0,0.0,0.0,0.0,0.054
Maple Drive East,12.3,12.3,11.8,90.0,10.7,0,0.0,0,12.3,12.4,12.4,765.8,0.0,0.0,0.0,0.0,0.0,0.161
Maple Drive East,12.3,12.4,12.3,90.0,10.7,0,0.0,1,12.3,12.4,12.4,765.9,0.0,0.0,3.0,0.13,7.0,0.471
Maple Drive East,12.7,12.7,12.3,89.0,10.9,0,0.0,0,12.7,12.7,12.7,766.1,0.0,0.0,7.0,0.3,9.0,0.873
Maple Drive East,12.8,12.9,12.7,88.0,10.8,0,0.0,0,12.8,12.8,12.8,766.4,0.0,0.0,11.0,0.47,12.0,1.285
Maple Drive East,13.4,13.4,12.7,90.0,11.8,0,0.0,4,13.4,13.5,13.5,766.5,0.0,0.0,15.0,0.65,21.0,1.649
Maple Drive East,14.3,14.3,13.4,86.0,12.0,2,1.0,8,14.3,14.2,14.2,766.7,0.0,0.0,23.0,0.99,26.0,2.0
Maple Drive East,14.9,14.9,14.3,82.0,11.9,2,1.0,8,14.9,14.9,14.9,766.9,0.0,0.0,30.0,1.29,33.0,2.17
Maple Drive East,15.4,15.4,14.9,80.0,12.0,1,0.5,5,15.4,15.4,15.4,766.9,0.0,0.0,37.0,1.59,51.0,2.591
Maple Drive East,16.2,16.2,15.4,76.0,11.9,1,0.5,8,16.2,16.1,16.1,766.9,0.0,0.0,61.0,2.62,178.0,2.265
Maple Drive East,16.9,16.9,16.2,73.0,12.1,1,0.5,6,16.9,16.8,16.8,766.9,0.0,0.0,70.0,3.01,86.0,1.544
Maple Drive East,17.4,17.4,16.9,65.0,10.7,2,1.0,7,17.4,17.1,17.1,767.0,0.0,0.0,74.0,3.18,118.0,2.67
Maple Drive East,18.1,18.1,17.4,65.0,11.4,2,1.0,8,18.1,17.8,17.8,767.1,0.0,0.0,85.0,3.66,135.0,3.186
Maple Drive East,18.1,18.1,17.9,70.0,12.6,2,1.0,7,18.1,18.1,18.1,767.2,0.0,0.0,103.0,4.43,269.0,2.281
Maple Drive East,18.8,18.8,18.1,69.0,13.0,2,1.0,7,18.8,18.9,18.9,767.3,0.0,0.0,129.0,5.55,243.0,1.095
Maple Drive East,19.1,19.3,18.8,67.0,12.8,2,1.0,7,19.1,19.1,19.1,767.2,0.0,0.0,277.0,11.91,919.0,3.244
Maple Drive East,19.1,19.4,19.1,70.0,13.5,3,1.5,10,19.1,19.3,19.3,767.2,0.0,0.0,149.0,6.41,246.0,3.102
Maple Drive East,19.1,19.1,18.8,70.0,13.5,3,1.5,9,19.1,19.3,19.3,767.4,0.0,0.0,167.0,7.18,232.0,3.119
Maple Drive East,19.8,19.8,19.1,67.0,13.5,2,1.0,11,19.8,19.9,19.9,767.4,0.0,0.0,491.0,21.12,963.0,2.969
Maple Drive East,20.0,20.1,19.7,65.0,13.2,3,1.5,10,20.0,20.1,20.1,767.4,0.0,0.0,391.0,16.82,918.0,2.802
Maple Drive East,20.7,20.7,19.9,62.0,13.2,3,1.5,12,20.7,20.4,20.4,767.5,0.0,0.0,213.0,9.16,886.0,2.518
Maple Drive East,21.0,21.3,20.8,59.0,12.7,3,1.5,10,21.0,20.5,20.5,767.6,0.0,0.0,783.0,33.67,844.0,2.085
Maple Drive East,21.0,21.3,21.0,58.0,12.4,3,1.5,11,21.0,20.4,20.4,767.8,0.0,0.0,778.0,33.46,817.0,1.619
Maple Drive East,20.3,21.0,20.1,58.0,11.7,4,2.0,12,20.3,19.9,19.9,767.9,0.0,0.0,660.0,28.38,756.0,1.404
Maple Drive East,20.5,20.9,20.3,60.0,12.5,3,1.5,10,20.5,20.2,20.2,767.8,0.0,0.0,475.0,20.43,615.0,0.946
Maple Drive East,20.0,20.4,19.8,64.0,13.0,4,2.0,10,20.0,20.1,20.1,767.8,0.0,0.0,167.0,7.18,501.0,0.743
Maple Drive East,21.2,21.3,20.0,59.0,12.8,2,1.0,9,21.2,20.7,20.7,767.8,0.0,0.0,100.0,4.3,151.0,0.471
Maple Drive East,20.8,21.2,20.6,62.0,13.2,2,1.0,7,20.8,20.5,20.5,767.8,0.0,0.0,168.0,7.22,364.0,0.2
Maple Drive East,20.4,21.1,20.4,63.0,13.2,2,1.0,7,20.4,20.3,20.3,767.8,0.0,0.0,87.0,3.74,262.0,0.196
Maple Drive East,19.5,20.4,19.5,67.0,13.2,1,0.5,7,19.5,19.6,19.6,767.8,0.0,0.0,41.0,1.76,54.0,0.148
Maple Drive East,19.3,19.5,19.3,68.0,13.2,1,0.5,5,19.3,19.4,19.4,767.9,0.0,0.0,32.0,1.38,37.0,0.059
Maple Drive East,19.1,19.3,19.1,70.0,13.5,0,0.0,5,19.1,19.2,19.2,768.0,0.0,0.0,28.0,1.2,33.0,0.005
Maple Drive East,11.0,11.1,11.0,88.0,9.1,0,0.0,0,11.0,11.1,11.1,768.6,0.0,0.0,0.0,0.0,0.0,0.059
Maple Drive East,10.7,11.1,10.7,87.0,8.6,0,0.0,0,10.7,10.7,10.7,768.6,0.0,0.0,0.0,0.0,0.0,0.226
Maple Drive East,10.4,10.7,10.4,89.0,8.7,0,0.0,0,10.4,10.5,10.5,768.7,0.0,0.0,3.0,0.13,7.0,0.535
Maple Drive East,10.3,10.4,10.3,91.0,8.9,0,0.0,1,10.3,10.5,10.5,768.7,0.0,0.0,10.0,0.43,11.0,0.589
Maple Drive East,10.8,10.9,10.3,92.0,9.6,0,0.0,1,10.8,11.0,11.0,768.7,0.0,0.0,14.0,0.6,18.0,1.123
Maple Drive East,11.8,11.8,10.9,93.0,10.7,0,0.0,0,11.8,11.9,11.9,768.8,0.0,0.0,19.0,0.82,21.0,1.526
Maple Drive East,12.7,12.7,11.8,93.0,11.6,0,0.0,0,12.7,12.8,12.8,768.7,0.0,0.0,26.0,1.12,30.0,1.794
Maple Drive East,13.6,13.6,12.7,93.0,12.4,0,0.0,1,13.6,13.7,13.7,768.6,0.0,0.0,34.0,1.46,40.0,2.264
Maple Drive East,14.6,14.6,13.6,92.0,13.3,0,0.0,1,14.6,14.7,14.7,768.6,0.0,0.0,45.0,1.94,51.0,2.418
Maple Drive East,16.1,16.1,14.6,89.0,14.3,0,0.0,1,16.1,16.3,16.3,768.8,0.0,0.0,64.0,2.75,176.0,2.699
Maple Drive East,17.6,17.6,16.1,80.0,14.1,0,0.0,1,17.6,17.8,17.8,768.7,0.0,0.0,54.0,2.32,58.0,3.231
Maple Drive East,18.8,18.8,17.6,72.0,13.6,0,0.0,2,18.8,18.9,18.9,768.6,0.0,0.0,67.0,2.88,102.0,2.216
Maple Drive East,20.0,20.0,18.8,67.0,13.7,0,0.0,2,20.0,20.2,20.2,768.6,0.0,0.0,91.0,3.91,139.0,2.175
Maple Drive East,20.8,20.8,20.0,66.0,14.2,0,0.0,2,20.8,20.8,20.8,768.6,0.0,0.0,118.0,5.07,158.0,3.328
Maple Drive East,21.0,21.0,20.8,60.0,12.9,0,0.0,2,21.0,20.6,20.6,768.6,0.0,0.0,112.0,4.82,171.0,3.102
Maple Drive East,23.0,23.0,21.8,54.0,13.2,0,0.0,1,23.0,23.0,23.0,768.4,0.0,0.0,210.0,9.03,290.0,3.251
Maple Drive East,23.1,23.3,23.0,53.0,13.0,0,0.0,3,23.1,23.0,23.0,768.3,0.0,0.0,130.0,5.59,190.0,1.425
Maple Drive East,23.9,23.9,22.9,50.0,12.8,0,0.0,4,23.9,23.9,23.9,768.0,0.0,0.0,459.0,19.74,835.0,2.298
Maple Drive East,23.9,24.2,23.8,53.0,13.8,0,0.0,3,23.9,24.1,24.1,768.0,0.0,0.0,314.0,13.5,856.0,3.002
Maple Drive East,23.3,24.0,23.2,56.0,14.1,1,0.5,6,23.3,23.5,23.5,767.9,0.0,0.0,129.0,5.55,225.0,2.201
Maple Drive East,23.9,23.9,23.3,53.0,13.7,2,1.0,8,23.9,24.1,24.1,767.8,0.0,0.0,568.0,24.43,919.0,2.239
Maple Drive East,24.3,24.4,23.7,51.0,13.5,1,0.5,6,24.3,24.4,24.4,767.8,0.0,0.0,604.0,25.98,846.0,1.827
Maple Drive East,25.2,25.2,24.4,47.0,13.1,1,0.5,6,25.2,25.1,25.1,767.7,0.0,0.0,619.0,26.62,761.0,1.278
Maple Drive East,24.7,25.2,24.7,45.0,11.9,2,1.0,7,24.7,24.4,24.4,767.5,0.0,0.0,578.0,24.86,670.0,0.955
Maple Drive East,24.0,24.7,24.0,47.0,12.0,1,0.5,5,24.0,23.9,23.9,767.4,0.0,0.0,113.0,4.86,631.0,0.587
Maple Drive East,24.3,24.4,23.9,43.0,10.9,2,1.0,6,24.3,24.0,24.0,767.3,0.0,0.0,68.0,2.92,76.0,0.374
