,Site,TempOut,OutHum,DewPt,WindSpeed,WindRun,WindChill,HeatIndex,THWIndex,Bar,Rain,RainRate,SolarRad,SolarEnergy,P_GEN,Temp_Pressure_ratio,Humidity_Radiation_ratio
0,YMCA,14.1,91.0,12.6,0,0.0,14.1,14.1,14.1,755.5,0.0,0.0,11.0,0.47,0.014,0.018663136995367306,8.272727272727273
1,YMCA,14.1,91.0,12.7,0,0.0,14.1,14.2,14.2,755.5,0.0,0.0,23.0,0.99,0.067,0.018663136995367306,3.9565217391304346
2,YMCA,14.4,91.0,12.9,0,0.0,14.4,14.4,14.4,755.7,0.0,0.0,34.0,1.46,0.216,0.019055180627233027,2.676470588235294
3,YMCA,15.1,86.0,12.7,0,0.0,15.1,15.1,15.1,755.8,0.0,0.0,57.0,2.45,0.256,0.019978830378406986,1.5087719298245614
4,YMCA,16.0,77.0,12.0,0,0.0,16.0,15.9,15.9,756.2,0.0,0.0,56.0,2.41,0.284,0.02115842369743454,1.375
5,YMCA,17.6,68.0,11.6,0,0.0,17.6,17.4,17.4,756.5,0.0,0.0,262.0,11.27,0.286,0.023265036351619302,0.2595419847328244
6,YMCA,18.4,70.0,12.9,0,0.0,18.4,18.4,18.4,756.7,0.0,0.0,479.0,20.6,0.18,0.024316109422492398,0.14613778705636743
7,YMCA,19.0,64.0,12.0,1,0.5,19.0,18.8,18.8,756.8,0.0,0.0,407.0,17.5,0.257,0.02510570824524313,0.15724815724815724
8,YMCA,19.5,62.0,12.0,1,0.5,19.5,19.3,19.3,756.9,0.0,0.0,407.0,17.5,0.153,0.02576298057867618,0.15233415233415235
9,YMCA,18.9,66.0,12.4,2,1.0,18.9,18.9,18.9,757.1,0.0,0.0,294.0,12.64,0.133,0.024963677189274863,0.22448979591836735
10,YMCA,19.6,61.0,11.8,1,0.5,19.6,19.3,19.3,757.1,0.0,0.0,323.0,13.89,0.313,0.025888257825914675,0.18885448916408668
