,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
4872,22.8,65.0,15.9,0,764.3,0.0,507.0,21.8,0.0298312181080727
168,16.9,71.0,11.6,1,767.1,0.0,9.0,0.39,0.0220310259418589
6074,15.9,94.0,14.9,0,761.1,0.0,15.0,0.65,0.02089081592432
8078,23.8,68.0,17.6,0,762.2,0.0,0.0,0.0,0.0312254001574389
7732,21.3,48.0,9.9,7,758.8,0.0,611.0,26.28,0.0280706378492356
7817,14.9,95.0,14.1,2,759.8,0.0,97.0,4.17,0.0196104237957357
10008,15.3,96.0,14.7,0,748.2,0.0,0.0,0.0,0.020449077786688
9531,12.8,88.0,10.8,1,762.3,0.0,0.0,0.0,0.0167912895185622
3951,17.7,71.0,12.3,0,767.0,0.0,48.0,2.06,0.023076923076923
3445,19.0,81.0,15.7,2,757.8,0.0,228.0,9.81,0.025072578516759
9179,20.8,85.0,18.2,0,749.5,0.0,17.0,0.73,0.0277518345563709
4810,22.4,53.0,12.3,5,759.0,0.0,739.0,31.78,0.0295125164690382
7620,16.1,71.0,10.8,2,758.9,0.0,62.0,2.67,0.0212149163262617
2118,15.9,95.0,15.1,3,748.7,0.0,71.0,3.05,0.0212368104714839
3777,12.8,88.0,10.8,0,766.4,0.0,11.0,0.47,0.0167014613778705
6080,17.4,88.0,15.4,2,761.4,0.0,121.0,5.2,0.0228526398739164
10886,16.4,89.0,14.6,1,767.6,0.0,99.0,4.26,0.0213652944241792
7310,19.7,53.0,9.9,0,761.2,0.0,78.0,3.35,0.0258801891749868
10085,20.4,56.0,11.3,1,758.2,0.0,322.0,13.85,0.0269058295964125
6598,15.0,75.0,10.6,2,768.2,0.0,0.0,0.0,0.0195261650611819
3432,12.8,96.0,12.2,0,756.2,0.0,33.0,1.42,0.0169267389579476
6000,14.5,75.0,10.1,2,764.2,0.0,17.0,0.73,0.0189740905522114
2167,19.1,66.0,12.6,5,754.5,0.0,357.0,15.35,0.0253147779986746
1962,16.1,54.0,6.7,3,753.8,0.0,303.0,13.03,0.0213584505173786
2156,16.7,80.0,13.3,1,755.1,0.0,296.0,12.73,0.0221162759899351
