,TempOut,OutHum,DewPt,WindSpeed,Bar,Rain,SolarRad,SolarEnergy,Temp_Pressure_ratio
926,14.2,97.0,13.8,0,755.2,0.0,46.0,1.98,0.0188029661016949
7604,15.2,73.0,10.4,1,755.4,0.0,0.0,0.0,0.0201217897802488
10710,20.0,60.0,12.0,1,763.7,0.0,281.0,12.08,0.0261882938326568
9223,22.3,52.0,11.9,5,753.3,0.0,312.0,13.42,0.0296030797822912
986,17.9,65.0,11.3,1,754.6,0.0,573.0,24.64,0.0237211767824012
8137,18.4,87.0,16.2,0,760.4,0.0,0.0,0.0,0.0241977906365071
3443,18.4,82.0,15.3,2,757.7,0.0,403.0,17.33,0.0242840174211429
4137,23.5,51.0,12.8,0,763.1,0.0,256.0,11.01,0.0307954396540427
8998,17.9,69.0,12.1,0,760.7,0.0,0.0,0.0,0.0235309583278559
11793,14.8,90.0,13.2,0,769.2,0.0,5.0,0.22,0.0192407696307852
11547,15.0,80.0,11.6,0,767.1,0.0,0.0,0.0,0.0195541650371529
2757,16.8,61.0,9.3,0,763.0,0.0,589.0,25.33,0.0220183486238532
8575,18.3,82.0,15.2,1,759.0,0.0,22.0,0.95,0.0241106719367588
3607,12.3,78.0,8.6,2,746.9,0.0,285.0,12.26,0.0164680680144597
3522,11.8,70.0,6.5,0,738.6,0.0,105.0,4.52,0.0159761711345789
1321,25.9,56.0,16.5,1,755.8,0.0,788.0,33.89,0.0342683249536914
11661,16.9,92.0,15.6,1,762.4,0.0,102.0,4.39,0.0221668415529905
2604,14.6,93.0,13.5,0,756.8,0.0,85.0,3.66,0.019291754756871
5741,8.0,94.0,7.1,0,756.7,0.0,25.0,1.08,0.0105722214880401
5321,20.2,56.0,11.2,0,765.1,0.0,44.0,1.89,0.0264017775454189
6586,17.7,64.0,10.8,1,767.8,0.0,280.0,12.04,0.0230528783537379
5742,10.2,95.0,9.4,0,756.6,0.0,60.0,2.58,0.0134813639968279
1430,24.1,48.0,12.4,1,755.1,0.0,611.0,26.28,0.0319163024764931
2242,18.6,62.0,11.1,2,755.4,0.0,292.0,12.56,0.0246227164416203
7030,15.7,83.0,12.8,1,761.4,0.0,0.0,0.0,0.0206199106908326
8574,18.2,85.0,15.6,1,758.9,0.0,5.0,0.22,0.0239820793253393
6732,17.6,66.0,11.1,2,766.5,0.0,175.0,7.53,0.0229615133724722
6538,17.9,67.0,11.7,2,766.3,0.0,266.0,11.44,0.0233589977815476
9675,10.8,81.0,7.7,1,754.7,0.0,0.0,0.0,0.0143103219822446
3018,6.2,96.0,5.6,0,760.0,0.0,210.0,9.03,0.0081578947368421
3491,15.3,86.0,13.0,4,747.6,0.0,69.0,2.97,0.0204654895666131
4467,19.0,57.0,10.3,2,763.4,0.0,42.0,1.81,0.0248886560125753
7722,17.6,67.0,11.4,6,759.6,0.0,384.0,16.51,0.0231700895208004
5680,12.3,90.0,10.7,2,745.9,0.0,0.0,0.0,0.0164901461321893
6701,13.1,82.0,10.1,1,767.6,0.0,0.0,0.0,0.0170661803022407
4949,20.2,75.0,15.6,0,758.4,0.0,10.0,0.43,0.0266350210970464
11756,17.1,84.0,14.4,1,765.7,0.0,158.0,6.79,0.0223325062034739
7009,19.4,67.0,13.2,1,762.3,0.0,564.0,24.26,0.0254492981765709
4540,18.4,80.0,14.9,5,750.4,0.0,62.0,2.67,0.0245202558635394
2771,8.3,94.0,7.4,0,760.5,0.0,100.0,4.3,0.0109138724523339
953,17.3,93.0,16.1,1,749.5,0.0,106.0,4.56,0.0230820547031354
10962,13.9,90.0,12.3,0,762.3,0.0,0.0,0.0,0.0182342909615636
9855,14.2,73.0,9.4,0,756.9,0.0,0.0,0.0,0.0187607345752411
10148,14.5,85.0,12.0,1,756.8,0.0,0.0,0.0,0.0191596194503171
9638,14.3,75.0,10.0,4,752.8,0.0,171.0,7.35,0.0189957492029755
9430,15.6,80.0,12.2,1,753.2,0.0,0.0,0.0,0.0207116303770578
8940,20.6,49.0,9.5,3,755.1,0.0,18.0,0.77,0.0272811548139319
1112,30.9,41.0,16.2,2,752.9,0.0,732.0,31.48,0.0410413069464736
11080,17.7,89.0,15.8,0,757.2,0.0,98.0,4.21,0.0233755942947702
1084,26.6,59.0,17.9,1,758.5,0.0,544.0,23.4,0.0350692155570204
751,20.6,69.0,14.7,3,746.0,0.0,304.0,13.07,0.0276139410187667
9791,18.2,44.0,5.7,4,758.0,0.0,502.0,21.59,0.0240105540897097
725,27.3,45.0,14.3,2,748.6,0.0,837.0,36.0,0.0364680737376436
5631,13.8,83.0,11.0,1,749.6,0.0,56.0,2.41,0.0184098185699039
8749,24.0,57.0,15.0,0,758.3,0.0,2.0,0.09,0.0316497428458393
2814,9.6,86.0,7.4,0,759.1,0.0,183.0,7.87,0.0126465551310762
5822,17.1,86.0,14.7,3,749.8,0.0,199.0,8.56,0.0228060816217658
9949,15.6,62.0,8.3,1,760.1,0.0,0.0,0.0,0.0205236153137745
10167,17.3,76.0,13.1,4,757.1,0.0,165.0,7.1,0.0228503500198124
9700,18.2,49.0,7.3,4,756.9,0.0,573.0,24.64,0.0240454485400977
1504,21.5,72.0,16.2,1,746.3,0.0,322.0,13.85,0.0288087900308187
9704,16.6,51.0,6.4,2,757.5,0.0,89.0,3.83,0.0219141914191419
11343,12.8,78.0,9.0,0,765.6,0.0,0.0,0.0,0.0167189132706374
2605,15.2,91.0,13.8,0,756.7,0.0,178.0,7.65,0.0200872208272763
4219,14.2,79.0,10.6,0,760.9,0.0,21.0,0.9,0.0186621106584308
11546,15.1,81.0,11.9,0,767.2,0.0,0.0,0.0,0.019681960375391
6534,18.4,70.0,12.9,2,766.5,0.0,205.0,8.82,0.0240052185257664
7115,19.8,52.0,9.7,1,758.7,0.0,377.0,16.21,0.026097271648873
6592,16.7,71.0,11.4,1,767.7,0.0,74.0,3.18,0.0217532890451999
3177,12.3,97.0,11.9,1,747.6,0.0,67.0,2.88,0.0164526484751203
7605,15.0,75.0,10.6,0,755.6,0.0,0.0,0.0,0.0198517734250926
593,12.8,88.0,10.9,0,756.9,0.0,138.0,5.93,0.0169110846875412
7775,16.1,85.0,13.6,4,759.8,0.0,133.0,5.72,0.0211897867859963
8280,18.6,90.0,16.9,1,757.7,0.0,0.0,0.0,0.0245479741322423
4753,23.1,63.0,15.6,4,756.4,0.0,103.0,4.43,0.030539397144368
2219,18.6,74.0,13.9,3,754.2,0.0,251.0,10.79,0.0246618933969769
4732,16.8,92.0,15.5,0,758.6,0.0,24.0,1.03,0.0221460585288689
5806,15.1,91.0,13.6,0,750.1,0.0,80.0,3.44,0.020130649246767
4883,13.0,95.0,12.2,0,764.4,0.0,12.0,0.52,0.0170068027210884
2996,15.6,94.0,14.6,4,752.2,0.0,9.0,0.39,0.0207391651156607
3025,15.3,52.0,5.5,0,759.0,0.0,561.0,24.13,0.0201581027667984
2545,20.0,66.0,13.5,0,761.7,0.0,199.0,8.56,0.0262570565839569
7246,14.8,67.0,8.7,3,755.8,0.25,129.0,5.55,0.0195818999735379
502,14.8,89.0,13.0,1,753.7,0.0,123.0,5.29,0.0196364601300252
5293,20.2,86.0,17.8,0,758.9,0.0,66.0,2.84,0.0266174726577941
10613,21.9,54.0,12.2,1,759.1,0.0,252.0,10.84,0.0288499538927677
5614,17.8,53.0,8.1,1,762.2,0.0,610.0,26.23,0.0233534505379165
4479,24.2,43.0,10.8,4,762.0,0.0,845.0,36.34,0.031758530183727
5525,19.5,78.0,15.6,1,766.0,0.0,191.0,8.21,0.0254569190600522
7184,13.4,84.0,10.7,1,755.9,0.0,0.0,0.0,0.0177272125942585
7421,14.7,82.0,11.7,0,763.1,0.0,2.0,0.09,0.0192635303367841
5898,18.1,66.0,11.6,6,759.5,0.0,551.0,23.7,0.0238314680710994
8182,21.3,75.0,16.7,0,754.2,0.0,0.0,0.0,0.02824184566428
398,23.3,51.0,12.6,0,760.2,0.0,408.0,17.55,0.0306498289923704
7654,15.8,76.0,11.6,0,759.2,0.0,0.0,0.0,0.0208113804004214
8536,22.1,70.0,16.3,2,759.3,0.0,545.0,23.44,0.029105755300935
9616,15.1,61.0,7.6,1,752.0,0.0,0.0,0.0,0.0200797872340425
9266,21.6,60.0,13.5,7,743.2,0.0,393.0,16.9,0.0290635091496232
11219,15.8,95.0,15.0,0,758.8,0.0,7.0,0.3,0.0208223510806536
3166,15.0,95.0,14.2,5,740.9,0.0,119.0,5.12,0.020245647185855
4557,14.8,94.0,13.9,0,750.4,0.0,49.0,2.11,0.0197228144989339
11526,20.3,63.0,13.0,0,765.5,0.0,28.0,1.2,0.026518615284128
353,13.2,93.0,12.1,0,759.3,0.0,49.0,2.11,0.0173844330304227
256,19.6,61.0,11.8,0,762.0,0.0,377.0,16.21,0.0257217847769028
2502,18.9,61.0,11.3,0,759.5,0.0,224.0,9.63,0.0248847926267281
5445,19.6,79.0,15.9,0,766.5,0.0,35.0,1.51,0.0255707762557077
3176,12.3,97.0,11.8,1,747.6,0.0,60.0,2.58,0.0164526484751203
871,21.2,48.0,9.8,2,755.5,0.0,323.0,13.89,0.0280608868299139
9736,14.4,66.0,8.2,3,759.7,0.0,277.0,11.91,0.0189548505989206
6370,12.6,80.0,9.2,1,764.7,0.0,0.0,0.0,0.0164770498234601
9881,15.1,60.0,7.4,4,758.4,0.0,661.0,28.43,0.0199103375527426
2548,19.8,66.0,13.3,0,761.5,0.0,121.0,5.2,0.0260013131976362
342,22.7,52.0,12.3,1,757.4,0.0,374.0,16.08,0.0299709532611565
2349,15.2,95.0,14.4,0,757.8,0.0,139.0,5.98,0.0200580628134072
10225,18.6,67.0,12.4,3,758.4,0.0,171.0,7.35,0.0245253164556962
6467,15.4,80.0,12.0,0,766.4,0.0,0.0,0.0,0.0200939457202505
11519,19.2,72.0,14.0,3,764.9,0.0,139.0,5.98,0.0251013204340436
10486,15.9,89.0,14.1,0,759.9,0.0,0.0,0.0,0.0209238057639163
1683,13.2,95.0,12.4,1,748.2,0.0,10.0,0.43,0.0176423416198877
9788,16.6,50.0,6.1,3,758.5,0.0,253.0,10.88,0.0218852999340804
8549,24.8,65.0,17.8,3,758.5,0.0,183.0,7.87,0.0326961107448912
9948,16.1,58.0,7.8,1,760.1,0.0,0.0,0.0,0.0211814234969083
1041,16.6,83.0,13.7,0,759.8,0.0,243.0,10.45,0.0218478546986049
7005,16.9,78.0,13.0,0,762.6,0.0,210.0,9.03,0.0221610280618935
4026,11.4,90.0,9.8,0,764.5,0.0,9.0,0.39,0.0149117069980379
3487,15.0,88.0,13.0,4,748.6,0.0,69.0,2.97,0.0200374031525514
3701,7.7,92.0,6.5,2,743.7,0.0,100.0,4.3,0.0103536372193088
4851,18.1,92.0,16.7,2,762.3,0.0,45.0,1.94,0.0237439328348419
4059,10.8,93.0,9.7,0,764.6,0.0,22.0,0.95,0.0141250326968349
455,18.8,49.0,7.9,2,757.0,0.0,502.0,21.59,0.0248348745046235
7073,18.9,53.0,9.1,0,760.6,0.0,194.0,8.34,0.0248488035761241
6334,20.2,59.0,11.9,1,760.2,0.0,198.0,8.52,0.0265719547487503
5850,18.0,88.0,16.0,2,755.2,0.0,5.0,0.22,0.0238347457627118
2131,15.4,96.0,14.8,0,745.7,0.0,23.0,0.99,0.0206517366233069
3809,10.8,92.0,9.6,0,768.7,0.0,14.0,0.6,0.0140496942890594
1559,20.6,54.0,10.9,2,755.9,0.0,579.0,24.9,0.0272522820478899
3357,15.3,95.0,14.5,0,753.8,0.0,60.0,2.58,0.0202971610506765
9743,16.8,49.0,6.0,3,759.5,0.0,175.0,7.53,0.0221198156682027
6266,12.7,71.0,7.5,1,750.6,0.0,105.0,4.52,0.016919797495337
6583,16.8,66.0,10.4,1,768.1,0.0,285.0,12.26,0.0218721520635333
9786,16.7,54.0,7.3,3,758.9,0.0,696.0,29.93,0.0220055343259981
8555,22.8,73.0,17.7,1,759.0,0.0,53.0,2.28,0.0300395256916996
3395,16.5,79.0,12.8,3,759.5,0.0,364.0,15.65,0.021724818959842
43,20.6,52.0,10.4,2,763.4,0.0,991.0,42.62,0.0269845428346869
9883,15.7,56.0,7.0,4,758.3,0.0,400.0,17.2,0.0207042067783199
11728,15.2,90.0,13.6,1,765.1,0.0,0.0,0.0,0.0198666840935825
7013,20.8,61.0,13.0,1,762.0,0.0,293.0,12.6,0.0272965879265091
1971,14.6,65.0,8.0,2,754.6,0.0,77.0,3.31,0.0193479989398356
8609,19.9,80.0,16.3,0,759.3,0.0,0.0,0.0,0.0262083497958646
5564,14.8,93.0,13.7,0,765.5,0.0,35.0,1.51,0.019333768778576
5042,21.2,61.0,13.4,1,762.8,0.0,177.0,7.61,0.0277923439958049
8098,19.1,83.0,16.2,1,763.6,0.0,98.0,4.21,0.0250130958617077
9580,14.5,74.0,9.9,3,756.1,0.0,0.0,0.0,0.0191773574923951
969,24.1,60.0,15.8,1,748.4,0.0,215.0,9.25,0.0322020309994655
9617,14.7,62.0,7.5,1,751.9,0.0,0.0,0.0,0.0195504721372522
6665,12.8,77.0,8.8,1,767.9,0.0,84.0,3.61,0.0166688370881625
3956,16.8,71.0,11.5,0,767.1,0.0,29.0,1.25,0.0219006648416112
10297,13.1,87.0,10.9,0,762.3,0.0,0.0,0.0,0.0171848353666535
8425,17.1,82.0,14.0,0,760.5,0.0,0.0,0.0,0.0224852071005917
11010,14.8,89.0,13.0,0,759.5,0.0,0.0,0.0,0.019486504279131
2991,20.6,62.0,13.1,1,759.6,0.0,103.0,4.43,0.0271195365982095
4991,25.4,60.0,17.1,0,758.6,0.0,433.0,18.62,0.0334827313472185
7926,18.9,89.0,17.0,2,752.8,0.0,67.0,2.88,0.025106269925611
5719,12.3,96.0,11.7,0,755.4,0.0,0.0,0.0,0.0162827640984908
3154,15.0,81.0,11.8,1,750.2,0.0,206.0,8.86,0.0199946680885097
3197,14.4,89.0,12.6,3,747.0,0.0,91.0,3.91,0.0192771084337349
1832,17.1,88.0,15.1,1,750.8,0.0,344.0,14.79,0.022775705913692
2690,21.2,85.0,18.5,0,751.8,0.0,420.0,18.06,0.0281989890928438
6173,12.8,78.0,9.1,0,742.2,0.0,452.0,19.44,0.0172460253300997
196,16.2,74.0,11.5,0,763.4,0.0,201.0,8.64,0.02122085407388
2617,20.0,74.0,15.2,0,755.4,0.0,185.0,7.96,0.0264760391845379
764,14.9,94.0,13.9,0,746.3,0.0,33.0,1.42,0.0199651614632185
10277,20.2,55.0,10.9,2,760.5,0.0,129.0,5.55,0.0265614727153188
10938,19.2,74.0,14.4,2,764.7,0.0,184.0,7.91,0.0251078854452726
9188,15.7,92.0,14.4,6,748.3,0.0,0.0,0.0,0.0209808900173727
11086,21.3,74.0,16.5,1,756.4,0.0,313.0,13.46,0.0281597038603913
7665,13.3,84.0,10.6,0,758.7,0.0,64.0,2.75,0.0175299855015157
2151,12.2,96.0,11.5,0,754.6,0.0,9.0,0.39,0.0161675059634243
2610,20.6,70.0,14.9,0,756.2,0.0,397.0,17.07,0.0272414705104469
5149,16.0,91.0,14.5,0,764.3,0.0,52.0,2.24,0.0209341881460159
4566,19.6,65.0,12.8,3,751.4,0.0,261.0,11.22,0.026084642001597
8772,17.7,76.0,13.4,1,758.1,0.0,64.0,2.75,0.0233478432924416
2314,19.7,75.0,15.1,0,760.9,0.0,183.0,7.87,0.0258903929557103
7461,16.6,73.0,11.7,2,758.4,0.0,0.0,0.0,0.0218881856540084
10207,15.7,92.0,14.4,2,756.7,0.0,0.0,0.0,0.0207479846702788
1530,20.3,56.0,11.2,2,751.4,0.0,728.0,31.31,0.0270162363587969
4480,24.0,45.0,11.3,4,761.8,0.0,795.0,34.19,0.0315043318456287
1655,24.4,54.0,14.5,1,753.8,0.0,262.0,11.27,0.0323693287344123
9445,15.2,82.0,12.1,1,754.3,0.0,111.0,4.77,0.0201511335012594
905,12.7,95.0,11.9,1,756.7,0.0,52.0,2.24,0.0167834016122637
5341,22.2,47.0,10.3,0,766.0,0.0,507.0,21.8,0.0289817232375979
2541,19.7,70.0,14.0,0,761.7,0.0,256.0,11.01,0.0258632007351975
6283,12.8,79.0,9.3,2,749.9,0.0,62.0,2.67,0.01706894252567
705,22.6,47.0,10.7,2,756.5,0.0,290.0,12.47,0.0298744216787838
1421,20.1,60.0,12.0,1,755.8,0.0,411.0,17.68,0.0265943371262238
10402,14.9,95.0,14.2,0,765.3,0.0,34.0,1.46,0.019469489089246
8102,21.9,72.0,16.6,1,763.7,0.0,255.0,10.97,0.0286761817467591
11214,16.5,94.0,15.5,0,757.8,0.0,0.0,0.0,0.0217735550277117
9761,13.2,68.0,7.4,0,760.1,0.0,0.0,0.0,0.0173661360347322
1165,20.1,90.0,18.4,2,751.5,0.0,57.0,2.45,0.0267465069860279
9931,16.3,53.0,6.7,2,761.6,0.0,291.0,12.51,0.0214023109243697
3520,11.6,75.0,7.3,0,738.7,0.0,77.0,3.31,0.0157032624881548
8750,23.1,61.0,15.2,0,758.4,0.0,0.0,0.0,0.0304588607594936
8545,28.2,41.0,13.7,2,758.6,0.0,486.0,20.9,0.03717374110203
9443,15.1,79.0,11.4,2,754.4,0.0,95.0,4.09,0.0200159066808059
8005,18.8,76.0,14.5,2,760.3,0.0,134.0,5.76,0.0247270814152308
10398,14.4,93.0,13.3,0,765.0,0.0,0.0,0.0,0.0188235294117647
8843,20.9,60.0,12.8,3,752.2,0.0,29.0,1.25,0.0277851635203403
5701,10.7,91.0,9.3,0,754.6,0.0,0.0,0.0,0.0141796978531672
117,21.8,61.0,13.9,1,760.5,0.0,95.0,4.09,0.0286653517422748
776,16.2,79.0,12.5,1,747.6,0.0,314.0,13.5,0.0216693418940609
