,P_GEN
4872,0.1375456919060052
168,0.034
6074,0.0167624020887728
8078,0.000547112462006
7732,0.1265653495440729
7817,0.044498480243161
10008,0.0003647416413373
9531,0.0003647416413373
3951,0.0377545691906005
3445,0.143
9179,0.0003647416413373
4810,0.2044386422976501
7620,0.2235866261398176
2118,0.014
3777,0.2013054830287206
6080,0.1405221932114882
10886,0.2308814589665653
7310,0.000547112462006
10085,0.0640121580547112
6598,0.0003647416413373
3432,0.002
6000,0.0145691906005221
2167,0.134
1962,0.194
2156,0.298
10334,0.0003647416413373
11715,0.0242553191489361
10599,0.0568996960486322
8484,0.2390881458966565
3095,0.175
2636,0.125
2599,0.003
9014,0.2496656534954407
9439,0.0366565349544072
7100,0.2520364741641337
876,0.019
8820,0.1544680851063829
6595,0.0003647416413373
10789,0.0702127659574468
2584,0.159
496,0.006
4791,0.1378590078328981
6754,0.0003647416413373
1731,0.003
5372,0.2846475195822454
6301,0.00266318537859
2770,0.065
927,0.028
2190,0.152
11216,0.0003647416413373
4209,0.0457441253263707
4405,0.2658485639686684
9712,0.0003647416413373
7755,0.0003647416413373
11131,0.3149544072948328
5776,0.0147258485639686
5306,0.028355091383812
6064,0.0336814621409921
10586,0.0003647416413373
9031,0.0351975683890577
9094,0.0003647416413373
5616,0.1945691906005221
381,0.04
9932,0.1812765957446808
2427,0.145
5710,0.2310704960835509
11041,0.2068085106382978
2337,0.152
10550,0.0769604863221884
11477,0.0009118541033434
11734,0.0003647416413373
7913,0.060547112462006
1562,0.095
4020,0.0106527415143603
8460,0.0003647416413373
6590,0.0346504559270516
3564,0.042
9839,0.0970212765957446
5480,0.0568668407310704
34,0.276
10937,0.0827963525835866
7154,0.2826747720364742
11581,0.0003647416413373
6245,0.0634464751958224
1814,0.014
10305,0.0450455927051671
4174,0.1502349869451696
3995,0.0410443864229764
6259,0.1530548302872062
1098,0.18
5987,0.0885117493472584
11838,0.0003647416413373
7359,0.0003647416413373
3088,0.241
2364,0.066
1070,0.109
4457,0.0067362924281984
10446,0.0003647416413373
7714,0.076595744680851
2275,0.083
9828,0.0773252279635258
7037,0.0003647416413373
5770,0.0275718015665796
2814,0.168
10966,0.0003647416413373
326,0.309
915,0.013
211,0.242
9730,0.1106990881458966
8270,0.0003647416413373
8864,0.0217021276595744
10015,0.000547112462006
3821,0.2232375979112271
751,0.141
9916,0.0003647416413373
10298,0.0003647416413373
7303,0.2772036474164133
2924,0.057
11026,0.0124012158054711
3682,0.052
2395,0.027
10441,0.0003647416413373
2059,0.25
2978,0.142
1963,0.12
10734,0.0003647416413373
11352,0.0003647416413373
5520,0.0039164490861618
6982,0.0003647416413373
3414,0.22
10507,0.0884498480243161
7095,0.0381155015197568
6757,0.0105775075987841
8365,0.0003647416413373
7010,0.2582370820668693
5822,0.1372323759791122
11761,0.0357446808510638
1060,0.015
6581,0.1145288753799392
7908,0.0218844984802431
2732,0.264
6752,0.0003647416413373
803,0.072
10812,0.0003647416413373
4327,0.0056396866840731
6433,0.1216413373860182
3943,0.1967624020887728
6135,0.0885117493472584
10774,0.0003647416413373
10297,0.0003647416413373
10255,0.0091185410334346
10930,0.0758662613981762
8053,0.2784802431610942
10439,0.0003647416413373
2808,0.006
3505,0.008
2276,0.194
8279,0.0003647416413373
104,0.314
8566,0.0003647416413373
3239,0.001
10896,0.1074164133738601
572,0.06
6227,0.0410443864229764
10253,0.0003647416413373
5556,0.0473107049608355
10093,0.0003647416413373
10291,0.0003647416413373
958,0.144
819,0.012
1219,0.06
6822,0.1435258358662614
8752,0.0003647416413373
7113,0.1619452887537994
2384,0.104
929,0.049
4391,0.0538903394255874
545,0.053
2228,0.054
4763,0.1016710182767623
7606,0.0003647416413373
11677,0.0003647416413373
9926,0.293434650455927
9048,0.0003647416413373
1300,0.1
6619,0.1125227963525835
9661,0.0003647416413373
6137,0.0302349869451697
4217,0.2067885117493472
2102,0.0
4459,0.0332114882506527
2607,0.221
9982,0.025531914893617
2588,0.229
2453,0.109
382,0.035
2791,0.041
2165,0.174
2589,0.218
10542,0.0003647416413373
5912,0.2194778067885117
8772,0.2170212765957446
7753,0.0003647416413373
5891,0.1723237597911227
3529,0.031
7786,0.000547112462006
3631,0.002
4246,0.0415143603133159
1411,0.152
1459,0.033
841,0.036
3245,0.199
5357,0.2982767624020887
2838,0.116
8762,0.0003647416413373
8237,0.0067477203647416
4425,0.012532637075718
8169,0.0134954407294832
9778,0.1050455927051671
8970,0.0968389057750759
11700,0.1922188449848024
9656,0.0036474164133738
2416,0.118
11758,0.1333130699088145
8927,0.2719148936170213
7013,0.1384194528875379
10460,0.0727659574468085
791,0.001
2594,0.035
10162,0.0990273556231003
7011,0.2210334346504559
11253,0.0003647416413373
893,0.018
2027,0.063
8374,0.0003647416413373
2380,0.09
5102,0.1920626631853785
7309,0.0114893617021276
1401,0.066
6520,0.0215197568389057
1737,0.252
10030,0.0488753799392097
633,0.076
1173,0.001
7996,0.000547112462006
6518,0.0178723404255319
5883,0.0078328981723237
10104,0.0003647416413373
5190,0.0108093994778067
10619,0.0003647416413373
5519,0.0159791122715404
8959,0.0413981762917933
8554,0.0003647416413373
2452,0.153
8244,0.1207294832826747
6002,0.0172323759791122
1077,0.083
10469,0.1004863221884498
2192,0.093
6278,0.0982245430809399
10712,0.000547112462006
4531,0.2342036553524804
11482,0.0003647416413373
2891,0.047
2436,0.007
1886,0.111
4682,0.0357180156657963
6254,0.0261618798955613
1456,0.138
7808,0.0056534954407294
6758,0.0153191489361702
2934,0.003
6803,0.000547112462006
6267,0.012532637075718
8931,0.0787841945288753
1934,0.075
11749,0.060547112462006
646,0.0
8464,0.0003647416413373
8655,0.0003647416413373
7871,0.127112462006079
3588,0.036
2744,0.012
4342,0.1768668407310704
9127,0.0470516717325227
1452,0.254
9761,0.0003647416413373
6996,0.0083890577507598
9673,0.0003647416413373
9133,0.0003647416413373
2789,0.004
6482,0.2936170212765958
4421,0.0957180156657963
866,0.194
9076,0.0574468085106383
3333,0.038
4718,0.0487206266318537
11141,0.0162310030395136
1282,0.023
1457,0.047
2443,0.304
9346,0.1218237082066869
6196,0.0177023498694516
2754,0.168
2372,0.0
7593,0.0193313069908814
5860,0.0589033942558746
6013,0.0140992167101827
7515,0.0003647416413373
6145,0.0048563968668407
7675,0.1183586626139817
7860,0.0687537993920972
7580,0.1862006079027355
204,0.087
11334,0.000547112462006
3864,0.0166057441253263
569,0.288
10777,0.0003647416413373
4927,0.0161357702349869
760,0.01
7900,0.000547112462006
2768,0.007
5219,0.0476240208877284
3067,0.005
2521,0.069
1064,0.001
385,0.065
6035,0.0006266318537859
9099,0.0003647416413373
7139,0.0003647416413373
8648,0.0054711246200607
900,0.013
3665,0.017
2311,0.194
4121,0.053107049608355
8646,0.0091185410334346
1665,0.085
4116,0.0136292428198433
8369,0.0003647416413373
2603,0.027
2571,0.027
2341,0.01
3349,0.025
10944,0.1220060790273556
4706,0.0219321148825065
6547,0.000547112462006
7937,0.0003647416413373
10609,0.2972644376899696
10246,0.0003647416413373
4837,0.0654830287206266
3911,0.2700783289817232
6538,0.2290577507598784
6744,0.0003647416413373
10841,0.0920972644376899
9466,0.0003647416413373
7532,0.0328267477203647
3204,0.075
3363,0.228
6191,0.0634464751958224
8899,0.0003647416413373
7409,0.0003647416413373
6859,0.2053495440729483
5634,0.0181723237597911
3504,0.01
6554,0.0003647416413373
3326,0.015
7795,0.0003647416413373
7721,0.1562917933130699
5856,0.1336292428198433
3053,0.274
11440,0.0003647416413373
11415,0.2538601823708206
5793,0.0046997389033942
5291,0.1319060052219321
800,0.107
6268,0.0036031331592689
4494,0.2335770234986945
6193,0.0479373368146214
10489,0.0003647416413373
10854,0.0184194528875379
11826,0.0003647416413373
3134,0.014
10646,0.2936170212765958
59,0.0
11307,0.0003647416413373
7512,0.0003647416413373
11688,0.0003647416413373
9540,0.221580547112462
11720,0.0003647416413373
7236,0.0063829787234042
3081,0.026
9113,0.1052279635258358
6211,0.0780156657963446
3990,0.0001566579634464
1788,0.0
1042,0.308
348,0.007
5493,0.0258485639686684
1122,0.003
4777,0.0482506527415143
9996,0.0003647416413373
7470,0.0158662613981762
6730,0.0930091185410334
8132,0.0003647416413373
1473,0.24
4268,0.0208355091383812
7000,0.0616413373860182
9774,0.0045592705167173
335,0.067
8599,0.0465045592705167
5170,0.0604699738903394
786,0.045
8987,0.0003647416413373
9056,0.0114893617021276
832,0.051
9334,0.0003647416413373
10200,0.0003647416413373
3841,0.2439164490861618
4058,0.1909660574412532
2806,0.05
3840,0.1799999999999999
5861,0.031331592689295
7497,0.0195136778115501
6396,0.1661398176291793
5606,0.3028198433420365
4535,0.1992689295039164
11560,0.1692401215805471
1108,0.227
1888,0.037
5454,0.1428720626631853
10949,0.0333738601823708
7101,0.2781155015197568
11481,0.0003647416413373
7638,0.0541641337386018
2651,0.192
7683,0.2522188449848024
7399,0.2741033434650455
6660,0.0016413373860182
2799,0.223
8949,0.0003647416413373
9496,0.1705167173252279
3827,0.2002088772845952
7749,0.0003647416413373
546,0.079
939,0.13
10366,0.2487537993920972
10670,0.0003647416413373
6834,0.0113069908814589
4697,0.02177545691906
2963,0.131
4273,0.0319582245430809
4566,0.1178067885117493
1065,0.031
7891,0.0003647416413373
11103,0.0003647416413373
6848,0.0003647416413373
3599,0.012
6949,0.0051063829787234
6651,0.0003647416413373
6362,0.0003647416413373
7427,0.1976899696048632
2780,0.16
6155,0.0305483028720626
2254,0.055
