,P_GEN
926,0.03
7604,0.0003647416413373
10710,0.0408510638297872
9223,0.0330091185410334
986,0.364
8137,0.0003647416413373
3443,0.188
4137,0.1640208877284595
8998,0.0003647416413373
11793,0.0138601823708206
11547,0.0003647416413373
2757,0.208
8575,0.0370212765957446
3607,0.144
3522,0.013
1321,0.28
11661,0.026079027355623
2604,0.106
5741,0.211018276762402
5321,0.0509138381201044
6586,0.1564741641337386
5742,0.1102872062663185
1430,0.04
2242,0.099
7030,0.0003647416413373
8574,0.0211550151975683
6732,0.1444376899696048
6538,0.2290577507598784
9675,0.0003647416413373
3018,0.264
3491,0.046
4467,0.3244386422976501
7722,0.2835866261398176
5680,0.0213054830287206
6701,0.0003647416413373
4949,0.0133159268929503
11756,0.1251063829787234
7009,0.3049240121580547
4540,0.1757702349869451
2771,0.136
953,0.028
10962,0.0003647416413373
9855,0.0003647416413373
10148,0.0003647416413373
9638,0.3682066869300912
9430,0.0003647416413373
8940,0.0003647416413373
1112,0.067
11080,0.0897264437689969
1084,0.09
751,0.141
9791,0.2128267477203647
725,0.209
5631,0.0578067885117493
8749,0.0003647416413373
2814,0.168
5822,0.1372323759791122
9949,0.0003647416413373
10167,0.2620668693009119
9700,0.1495440729483282
1504,0.302
9704,0.0134954407294832
11343,0.0003647416413373
2605,0.137
4219,0.3324281984334203
11546,0.0003647416413373
6534,0.1464437689969605
7115,0.1178115501519756
6592,0.0195136778115501
3177,0.022
7605,0.0003647416413373
593,0.135
7775,0.0556231003039513
8280,0.0003647416413373
4753,0.0484073107049608
2219,0.07
4732,0.0841253263707571
5806,0.037284595300261
4883,0.1967624020887728
2996,0.0
3025,0.203
2545,0.184
7246,0.3517933130699088
502,0.168
5293,0.1040208877284595
10613,0.0366565349544072
5614,0.2515926892950391
4479,0.2992167101827676
5525,0.0949347258485639
7184,0.0003647416413373
7421,0.0100303951367781
5898,0.1192167101827676
8182,0.0003647416413373
398,0.129
7654,0.0003647416413373
8536,0.3776899696048632
9616,0.0003647416413373
9266,0.3587234042553192
11219,0.0645592705167173
3166,0.144
4557,0.1807832898172323
11526,0.0003647416413373
353,0.204
256,0.024
2502,0.087
5445,0.0607832898172323
3176,0.021
871,0.07
9736,0.0731306990881459
6370,0.0003647416413373
9881,0.129483282674772
2548,0.013
342,0.061
2349,0.213
10225,0.1147112462006079
6467,0.0003647416413373
11519,0.378966565349544
10486,0.0003647416413373
1683,0.052
9788,0.2520364741641337
8549,0.1987841945288753
9948,0.0003647416413373
1041,0.286
7005,0.2832218844984802
4026,0.1588511749347258
3487,0.013
3701,0.074
4851,0.0379112271540469
4059,0.1243864229765012
455,0.114
7073,0.0162310030395136
6334,0.1559270516717325
5850,0.0867885117493472
2131,0.005
3809,0.1759268929503916
1559,0.078
3357,0.017
9743,0.1980547112462006
6266,0.0974412532637075
6583,0.1420668693009118
9786,0.1674164133738601
8555,0.0003647416413373
3395,0.174
43,0.169
9883,0.1152583586626139
11728,0.0003647416413373
7013,0.1384194528875379
1971,0.003
8609,0.0003647416413373
5564,0.3266318537859007
5042,0.1060574412532637
8098,0.0946504559270516
9580,0.0003647416413373
969,0.02
9617,0.0003647416413373
6665,0.0888145896656534
3956,0.0261618798955613
10297,0.0003647416413373
8425,0.0003647416413373
11010,0.0003647416413373
2991,0.018
4991,0.1914360313315926
7926,0.0685714285714285
5719,0.2102349869451697
3154,0.049
3197,0.027
1832,0.012
2690,0.277
6173,0.3255352480417753
196,0.061
2617,0.04
764,0.023
10277,0.0756838905775076
10938,0.3089361702127659
9188,0.0003647416413373
11086,0.1511854103343465
7665,0.0585410334346504
2151,0.017
2610,0.097
5149,0.2537859007832898
4566,0.1178067885117493
8772,0.2170212765957446
2314,0.06
7461,0.000547112462006
10207,0.0220668693009118
1530,0.356
4480,0.2063185378590078
1655,0.009
9445,0.0758662613981762
905,0.017
5341,0.1735770234986945
2541,0.255
6283,0.028355091383812
705,0.006
1421,0.118
10402,0.0893617021276595
8102,0.1212765957446808
11214,0.0003647416413373
9761,0.0003647416413373
1165,0.033
9931,0.3280851063829787
3520,0.088
8750,0.0003647416413373
8545,0.0946504559270516
9443,0.0786018237082066
8005,0.1936778115501519
10398,0.000547112462006
8843,0.0003647416413373
5701,0.0545169712793733
117,0.017
776,0.246
3476,0.023
6518,0.0178723404255319
3084,0.01
2272,0.01
9078,0.1287537993920972
8013,0.182370820668693
3901,0.0792689295039164
8009,0.1962310030395136
10242,0.0003647416413373
7887,0.0003647416413373
6404,0.0003647416413373
4329,0.0777023498694516
6928,0.0335562310030395
2555,0.022
6194,0.0822454308093994
847,0.021
4431,0.1433420365535248
4951,0.0067362924281984
7245,0.3215197568389057
10920,0.0003647416413373
1779,0.156
4648,0.2866840731070496
3045,0.01
10113,0.0145896656534954
748,0.138
886,0.018
1735,0.158
6825,0.0826139817629179
11570,0.0417629179331307
4482,0.072532637075718
6495,0.0714893617021276
8633,0.1207294832826747
3044,0.022
2835,0.031
118,0.007
4899,0.0983812010443864
931,0.057
3253,0.039
10485,0.0003647416413373
6034,0.0032898172323759
8999,0.0003647416413373
9958,0.0003647416413373
3073,0.044
2658,0.059
10266,0.2848632218844985
804,0.055
1801,0.059
10491,0.0003647416413373
8022,0.1579331306990881
2065,0.212
7200,0.0499696048632218
5381,0.1926892950391644
2661,0.015
2523,0.064
3187,0.022
10321,0.0419452887537993
350,0.007
84,0.031
8583,0.0829787234042553
6557,0.0003647416413373
371,0.079
9728,0.0206079027355623
9877,0.2666261398176291
9338,0.0003647416413373
6631,0.1694224924012158
4364,0.0159791122715404
7738,0.0051063829787234
6849,0.0003647416413373
5441,0.037597911227154
10116,0.0136778115501519
11081,0.1008510638297872
11144,0.0003647416413373
10956,0.0003647416413373
891,0.021
9661,0.0003647416413373
7799,0.0003647416413373
10922,0.0003647416413373
9529,0.0003647416413373
8571,0.000547112462006
3539,0.015
8864,0.0217021276595744
1378,0.071
10156,0.0003647416413373
8267,0.0003647416413373
2066,0.159
6446,0.1728875379939209
813,0.053
7831,0.0098480243161094
11716,0.0051063829787234
10625,0.0003647416413373
7817,0.044498480243161
3293,0.002
4722,0.0294516971279373
7300,0.3328267477203647
7705,0.000547112462006
5935,0.072219321148825
487,0.131
9300,0.1960486322188449
8842,0.000547112462006
11313,0.1034042553191489
2155,0.205
6371,0.000547112462006
10576,0.0003647416413373
6846,0.0003647416413373
8866,0.0317325227963525
8359,0.0672948328267477
10597,0.0849848024316109
7029,0.0003647416413373
4387,0.2594255874673629
4720,0.0554569190600522
10315,0.106322188449848
1413,0.208
4325,0.1721671018276762
11656,0.0459574468085106
7336,0.3412158054711246
11140,0.0457750759878419
8426,0.0003647416413373
2001,0.21
9176,0.0049240121580547
9488,0.0412158054711246
2880,0.183
4231,0.1044908616187989
5971,0.0206788511749347
7113,0.1619452887537994
2976,0.014
5672,0.350443864229765
8090,0.0003647416413373
5256,0.2365535248041775
224,0.05
10545,0.0175075987841945
2370,0.0
2434,0.03
2129,0.017
9671,0.0003647416413373
11034,0.3010942249240121
1425,0.24
5833,0.2475195822454307
2977,0.018
9427,0.0003647416413373
3924,0.0324281984334203
4053,0.0045430809399477
2650,0.161
2907,0.09
1939,0.042
5578,0.0809921671018276
7691,0.0003647416413373
2662,0.002
10543,0.0003647416413373
4565,0.1624543080939947
3824,0.3448041775456918
9226,0.0003647416413373
545,0.053
4383,0.2034986945169712
2416,0.118
7657,0.0003647416413373
10970,0.0003647416413373
9647,0.2445592705167173
3678,0.008
1071,0.351
1570,0.053
381,0.04
128,0.092
8303,0.2177507598784194
4710,0.0559268929503916
1889,0.036
11652,0.0937386018237082
11013,0.0003647416413373
6995,0.000547112462006
9940,0.1274772036474164
10152,0.0003647416413373
9565,0.0003647416413373
10427,0.0003647416413373
6903,0.062370820668693
5410,0.0433942558746736
288,0.003
1242,0.167
2212,0.134
11390,0.0003647416413373
10905,0.0003647416413373
10293,0.0003647416413373
2125,0.003
1719,0.133
9758,0.0003647416413373
11203,0.0003647416413373
2316,0.053
8041,0.0003647416413373
5630,0.0491906005221932
9798,0.0297264437689969
2868,0.048
5880,0.0786422976501305
4119,0.0115926892950391
480,0.182
8074,0.0083890577507598
6033,0.0134725848563968
7820,0.086079027355623
6189,0.128929503916449
10060,0.0003647416413373
4932,0.0426109660574412
6236,0.0220887728459529
3280,0.14
8634,0.0711246200607902
5211,0.1687206266318537
4349,0.1641775456919059
6099,0.318798955613577
9721,0.0003647416413373
9549,0.2099088145896656
536,0.012
5784,0.0452741514360313
2885,0.203
6647,0.0003647416413373
11222,0.316595744680851
7849,0.0003647416413373
8080,0.0003647416413373
10323,0.0275379939209726
4256,0.2591122715404699
6011,0.0328981723237597
5825,0.1724804177545691
3572,0.035
2472,0.296
6639,0.0196960486322188
392,0.114
3420,0.069
6603,0.0003647416413373
11573,0.0032826747720364
11015,0.0003647416413373
4700,0.053420365535248
1602,0.007
11596,0.0003647416413373
4888,0.135509138381201
