,Power
7264,4336.0
653,2544.0
13313,896.0
14460,0.0
3119,0.0
15567,0.0
7180,7536.0
5216,8048.0
4498,3616.0
3314,0.0
3724,1536.0
13015,0.0
8342,1088.0
405,5160.0
5559,0.0
13625,0.0
4771,7232.0
13296,0.0
16886,0.0
1648,0.0
11972,7600.0
11921,2880.0
12681,0.0
5092,0.0
10776,8464.0
1367,3520.0
3601,0.0
7888,4144.0
17454,2960.0
3671,1472.0
15304,0.0
13016,0.0
12550,8800.0
17313,1696.0
10319,0.0
4049,1312.0
6520,0.0
8559,480.0
17287,0.0
15050,8000.0
14513,112.0
10601,0.0
12881,2912.0
13890,5232.0
2436,560.0
17563,0.0
11436,0.0
9254,672.0
8544,0.0
1815,0.0
3853,0.0
4762,0.0
13173,8544.0
8094,8720.0
6423,48.0
10152,3728.0
9754,0.0
12765,0.0
12693,8736.0
143,0.0
12908,0.0
4334,0.0
12215,1648.0
15016,0.0
15034,0.0
1225,7856.0
9612,0.0
15855,0.0
5538,6240.0
15929,0.0
7539,0.0
9604,0.0
4393,5680.0
10999,0.0
12554,8480.0
8008,96.0
2225,408.0
6867,0.0
1197,0.0
7412,8560.0
1157,0.0
675,0.0
11077,128.0
11755,0.0
12880,2256.0
13784,0.0
12592,2832.0
4960,256.0
8046,9024.0
13359,352.0
12358,7872.0
17200,0.0
16061,1568.0
15026,0.0
8162,0.0
16295,5200.0
16932,0.0
17522,0.0
1077,1936.0
11806,0.0
7962,0.0
12238,0.0
4095,1056.0
6371,2800.0
1112,0.0
10449,5408.0
1241,0.0
2484,704.0
17433,0.0
14287,1296.0
13084,2976.0
3376,240.0
15243,8224.0
1980,0.0
274,1024.0
10564,0.0
5737,784.0
13996,1248.0
9889,0.0
12257,1120.0
10447,6512.0
1383,0.0
2403,0.0
1639,0.0
3790,0.0
6320,4000.0
6993,944.0
13353,0.0
14074,0.0
16124,0.0
6110,1088.0
16625,64.0
16701,0.0
1514,3032.0
16198,1856.0
4270,0.0
13205,0.0
3661,0.0
4717,0.0
1407,0.0
11454,7072.0
